bound_size,question_id,equal,generated_sql_error,gold_sql_error,generated_sql_columns,gold_sql_columns,generated_sql_results,gold_sql_results,generated_sql_scalar,gold_sql_scalar,generated_sql,gold_sql,generated_sql_ok,gold_sql_ok
2,3,True,,,['MAILSTREET'],['MAILSTREET'],"[[""2147483648""]]","[[""2147483648""]]",2147483648,2147483648,SELECT T1.MAILSTREET FROM SCHOOLS AS T1 INNER JOIN FRPM AS T2 ON T1.CDSCODE = T2.CDSCODE ORDER BY T2.FRPM_COUNT_K12 DESC LIMIT 1;,SELECT T2.MAILSTREET FROM FRPM AS T1 INNER JOIN SCHOOLS AS T2 ON T1.CDSCODE = T2.CDSCODE ORDER BY T1.FRPM_COUNT_K12 DESC LIMIT 1;,True,True
3,3,True,,,['MAILSTREET'],['MAILSTREET'],"[[""2147483649""]]","[[""2147483649""]]",2147483649,2147483649,SELECT T1.MAILSTREET FROM SCHOOLS AS T1 INNER JOIN FRPM AS T2 ON T1.CDSCODE = T2.CDSCODE ORDER BY T2.FRPM_COUNT_K12 DESC LIMIT 1;,SELECT T2.MAILSTREET FROM FRPM AS T1 INNER JOIN SCHOOLS AS T2 ON T1.CDSCODE = T2.CDSCODE ORDER BY T1.FRPM_COUNT_K12 DESC LIMIT 1;,True,True
4,3,True,,,['MAILSTREET'],['MAILSTREET'],"[[""2147483649""]]","[[""2147483649""]]",2147483649,2147483649,SELECT T1.MAILSTREET FROM SCHOOLS AS T1 INNER JOIN FRPM AS T2 ON T1.CDSCODE = T2.CDSCODE ORDER BY T2.FRPM_COUNT_K12 DESC LIMIT 1;,SELECT T2.MAILSTREET FROM FRPM AS T1 INNER JOIN SCHOOLS AS T2 ON T1.CDSCODE = T2.CDSCODE ORDER BY T1.FRPM_COUNT_K12 DESC LIMIT 1;,True,True
5,3,True,,,['MAILSTREET'],['MAILSTREET'],"[[""2147483649""]]","[[""2147483649""]]",2147483649,2147483649,SELECT T1.MAILSTREET FROM SCHOOLS AS T1 INNER JOIN FRPM AS T2 ON T1.CDSCODE = T2.CDSCODE ORDER BY T2.FRPM_COUNT_K12 DESC LIMIT 1;,SELECT T2.MAILSTREET FROM FRPM AS T1 INNER JOIN SCHOOLS AS T2 ON T1.CDSCODE = T2.CDSCODE ORDER BY T1.FRPM_COUNT_K12 DESC LIMIT 1;,True,True
1,5,False,,,['COUNT(DISTINCT T1.CDSCODE)'],['COUNT(DISTINCT T2.SCHOOL)'],[[1]],[[0]],1,0,SELECT COUNT(DISTINCT T1.CDSCODE) FROM SCHOOLS AS T1 INNER JOIN SATSCORES AS T2 ON T1.CDSCODE = T2.CDS WHERE T1.VIRTUAL = 'F' AND T2.AVGSCRMATH > 400;,SELECT COUNT(DISTINCT T2.SCHOOL) FROM SATSCORES AS T1 INNER JOIN SCHOOLS AS T2 ON T1.CDS = T2.CDSCODE WHERE T2.VIRTUAL = 'F' AND T1.AVGSCRMATH > 400;,True,True
2,5,False,,,['COUNT(DISTINCT T1.CDSCODE)'],['COUNT(DISTINCT T2.SCHOOL)'],[[1]],[[0]],1,0,SELECT COUNT(DISTINCT T1.CDSCODE) FROM SCHOOLS AS T1 INNER JOIN SATSCORES AS T2 ON T1.CDSCODE = T2.CDS WHERE T1.VIRTUAL = 'F' AND T2.AVGSCRMATH > 400;,SELECT COUNT(DISTINCT T2.SCHOOL) FROM SATSCORES AS T1 INNER JOIN SCHOOLS AS T2 ON T1.CDS = T2.CDSCODE WHERE T2.VIRTUAL = 'F' AND T1.AVGSCRMATH > 400;,True,True
3,5,False,,,['COUNT(DISTINCT T1.CDSCODE)'],['COUNT(DISTINCT T2.SCHOOL)'],[[3]],[[2]],3,2,SELECT COUNT(DISTINCT T1.CDSCODE) FROM SCHOOLS AS T1 INNER JOIN SATSCORES AS T2 ON T1.CDSCODE = T2.CDS WHERE T1.VIRTUAL = 'F' AND T2.AVGSCRMATH > 400;,SELECT COUNT(DISTINCT T2.SCHOOL) FROM SATSCORES AS T1 INNER JOIN SCHOOLS AS T2 ON T1.CDS = T2.CDSCODE WHERE T2.VIRTUAL = 'F' AND T1.AVGSCRMATH > 400;,True,True
4,5,False,,,['COUNT(DISTINCT T1.CDSCODE)'],['COUNT(DISTINCT T2.SCHOOL)'],[[4]],[[3]],4,3,SELECT COUNT(DISTINCT T1.CDSCODE) FROM SCHOOLS AS T1 INNER JOIN SATSCORES AS T2 ON T1.CDSCODE = T2.CDS WHERE T1.VIRTUAL = 'F' AND T2.AVGSCRMATH > 400;,SELECT COUNT(DISTINCT T2.SCHOOL) FROM SATSCORES AS T1 INNER JOIN SCHOOLS AS T2 ON T1.CDS = T2.CDSCODE WHERE T2.VIRTUAL = 'F' AND T1.AVGSCRMATH > 400;,True,True
5,5,False,,,['COUNT(DISTINCT T1.CDSCODE)'],['COUNT(DISTINCT T2.SCHOOL)'],[[5]],[[3]],5,3,SELECT COUNT(DISTINCT T1.CDSCODE) FROM SCHOOLS AS T1 INNER JOIN SATSCORES AS T2 ON T1.CDSCODE = T2.CDS WHERE T1.VIRTUAL = 'F' AND T2.AVGSCRMATH > 400;,SELECT COUNT(DISTINCT T2.SCHOOL) FROM SATSCORES AS T1 INNER JOIN SCHOOLS AS T2 ON T1.CDS = T2.CDSCODE WHERE T2.VIRTUAL = 'F' AND T1.AVGSCRMATH > 400;,True,True
1,9,False,,,['COUNT(*)'],['COUNT(T2.SCHOOL_CODE)'],[[1]],[[0]],1,0,SELECT COUNT(*) FROM SATSCORES SS JOIN SCHOOLS S ON SS.CDS = S.CDSCODE WHERE SS.AVGSCRMATH > 560 AND S.FUNDINGTYPE = 'DIRECTLY FUNDED';,SELECT COUNT(T2.SCHOOL_CODE) FROM SATSCORES AS T1 INNER JOIN FRPM AS T2 ON T1.CDS = T2.CDSCODE WHERE T1.AVGSCRMATH > 560 AND T2.CHARTER_FUNDING_TYPE = 'DIRECTLY FUNDED';,True,True
