question_id,res
0,correct
1,incorrect
2,correct
3,incorrect
4,incorrect
5,incorrect
6,correct
7,correct
8,correct
9,correct
10,correct
11,correct
12,incorrect
13,incorrect
14,incorrect
15,correct
16,incorrect
17,incorrect
18,incorrect
19,correct
20,correct
21,correct
22,incorrect
23,incorrect
24,incorrect
25,incorrect
26,incorrect
27,incorrect
28,incorrect
29,correct
30,incorrect
31,incorrect
32,incorrect
33,incorrect
34,correct
35,correct
36,correct
37,incorrect
38,incorrect
39,correct
40,incorrect
41,incorrect
42,incorrect
43,incorrect
44,correct
45,correct
46,incorrect
47,incorrect
48,incorrect
49,incorrect
50,incorrect
51,incorrect
52,correct
53,incorrect
54,correct
55,correct
56,incorrect
57,correct
58,incorrect
59,incorrect
60,correct
61,correct
62,correct
63,incorrect
64,correct
65,incorrect
66,incorrect
67,correct
68,correct
69,incorrect
70,incorrect
71,incorrect
72,correct
73,incorrect
74,incorrect
75,incorrect
76,incorrect
77,incorrect
78,correct
79,correct
80,correct
81,incorrect
82,incorrect
83,incorrect
84,incorrect
85,incorrect
86,incorrect
87,incorrect
88,incorrect
89,correct
90,correct
91,correct
92,correct
93,incorrect
94,incorrect
95,incorrect
96,correct
97,incorrect
98,incorrect
99,incorrect
100,correct
101,incorrect
102,correct
103,correct
104,correct
105,correct
106,correct
107,correct
108,correct
109,incorrect
110,incorrect
111,incorrect
112,correct
113,correct
114,correct
115,correct
116,incorrect
117,correct
118,correct
119,correct
120,incorrect
121,correct
122,correct
123,incorrect
124,incorrect
125,incorrect
126,correct
127,correct
128,incorrect
129,incorrect
130,incorrect
131,incorrect
132,incorrect
133,incorrect
134,correct
135,incorrect
136,incorrect
137,correct
138,correct
139,incorrect
140,correct
141,incorrect
142,incorrect
143,incorrect
144,incorrect
145,incorrect
146,incorrect
147,correct
148,correct
149,incorrect
150,incorrect
151,incorrect
152,incorrect
153,incorrect
154,correct
155,incorrect
156,incorrect
157,correct
158,correct
159,incorrect
160,correct
161,correct
162,correct
163,incorrect
164,correct
165,incorrect
166,incorrect
167,correct
168,incorrect
169,incorrect
170,correct
171,incorrect
172,incorrect
173,correct
174,incorrect
175,correct
176,incorrect
177,correct
178,incorrect
179,incorrect
180,incorrect
181,correct
182,correct
183,incorrect
184,correct
185,incorrect
186,incorrect
187,incorrect
188,correct
189,incorrect
190,correct
191,incorrect
192,incorrect
193,incorrect
194,incorrect
195,correct
196,correct
197,incorrect
198,incorrect
199,incorrect
200,correct
201,incorrect
202,correct
203,correct
204,correct
205,incorrect
206,correct
207,incorrect
208,correct
209,incorrect
210,correct
211,incorrect
212,correct
213,correct
214,correct
215,incorrect
216,correct
217,incorrect
218,correct
219,incorrect
220,incorrect
221,incorrect
222,correct
223,incorrect
224,correct
225,incorrect
226,incorrect
227,incorrect
228,incorrect
229,correct
230,correct
231,incorrect
232,incorrect
233,incorrect
234,incorrect
235,correct
236,correct
237,incorrect
238,correct
239,incorrect
240,correct
241,correct
242,incorrect
243,incorrect
244,incorrect
245,incorrect
246,correct
247,incorrect
248,incorrect
249,correct
250,incorrect
251,incorrect
252,incorrect
253,correct
254,incorrect
255,incorrect
256,correct
257,correct
258,correct
259,incorrect
260,correct
261,correct
262,correct
263,incorrect
264,incorrect
265,correct
266,correct
267,incorrect
268,correct
269,incorrect
270,incorrect
271,incorrect
272,incorrect
273,correct
274,correct
275,incorrect
276,incorrect
277,incorrect
278,correct
279,correct
280,correct
281,incorrect
282,incorrect
283,incorrect
284,incorrect
285,correct
286,correct
287,incorrect
288,incorrect
289,incorrect
290,incorrect
291,correct
292,incorrect
293,correct
294,correct
295,incorrect
296,incorrect
297,incorrect
298,correct
299,incorrect
300,incorrect
301,incorrect
302,correct
303,incorrect
304,incorrect
305,incorrect
306,incorrect
307,correct
308,incorrect
309,incorrect
310,incorrect
311,incorrect
312,correct
313,incorrect
314,correct
315,incorrect
316,incorrect
317,incorrect
318,correct
319,correct
320,correct
321,incorrect
322,correct
323,incorrect
324,incorrect
325,correct
326,incorrect
327,incorrect
328,incorrect
329,incorrect
330,incorrect
331,correct
332,correct
333,correct
334,correct
335,incorrect
336,correct
337,incorrect
338,incorrect
339,incorrect
340,incorrect
341,incorrect
342,incorrect
343,incorrect
344,incorrect
345,incorrect
346,correct
347,incorrect
348,correct
349,incorrect
350,correct
351,correct
352,correct
353,correct
354,incorrect
355,correct
356,correct
357,incorrect
358,incorrect
359,incorrect
360,incorrect
361,incorrect
362,correct
363,incorrect
364,correct
365,correct
366,correct
367,correct
368,correct
369,correct
370,correct
371,correct
372,correct
373,correct
374,correct
375,correct
376,incorrect
377,correct
378,correct
379,correct
380,correct
381,correct
382,correct
383,correct
384,incorrect
385,correct
386,incorrect
387,incorrect
388,incorrect
389,incorrect
390,correct
391,incorrect
392,incorrect
393,incorrect
394,incorrect
395,correct
396,correct
397,incorrect
398,incorrect
399,incorrect
400,incorrect
401,incorrect
402,incorrect
403,incorrect
404,correct
405,incorrect
406,incorrect
407,correct
408,incorrect
409,incorrect
410,correct
411,incorrect
412,incorrect
413,incorrect
414,correct
415,incorrect
416,correct
417,incorrect
418,correct
419,correct
420,correct
421,correct
422,correct
423,correct
424,incorrect
425,incorrect
426,correct
427,correct
