bound_size,question_id,equivalent,counterexample,time_cost,generated_sql,gold_sql,res
1,0,ERROR,ParserSyntaxError: ParserSyntaxError: cannot parse `SELECT MAX(`FREE MEAL COUNT (K-12)` / `ENROLLMENT (K-12)`) AS 'ELIGIBLE FREE RATE' FROM FRPM WHERE `COUNTY NAME` = 'ALAMEDA COUNTY';`,,SELECT MAX(`FREE MEAL COUNT (K-12)` / `ENROLLMENT (K-12)`) AS 'ELIGIBLE FREE RATE' FROM FRPM WHERE `COUNTY NAME` = 'ALAMEDA COUNTY';,SELECT `FREE MEAL COUNT (K-12)` / `ENROLLMENT (K-12)` FROM FRPM WHERE `COUNTY NAME` = 'ALAMEDA' ORDER BY (CAST(`FREE MEAL COUNT (K-12)` AS REAL) / `ENROLLMENT (K-12)`) DESC LIMIT 1,correct
2,0,ERROR,ParserSyntaxError: ParserSyntaxError: cannot parse `SELECT MAX(`FREE MEAL COUNT (K-12)` / `ENROLLMENT (K-12)`) AS 'ELIGIBLE FREE RATE' FROM FRPM WHERE `COUNTY NAME` = 'ALAMEDA COUNTY';`,,SELECT MAX(`FREE MEAL COUNT (K-12)` / `ENROLLMENT (K-12)`) AS 'ELIGIBLE FREE RATE' FROM FRPM WHERE `COUNTY NAME` = 'ALAMEDA COUNTY';,SELECT `FREE MEAL COUNT (K-12)` / `ENROLLMENT (K-12)` FROM FRPM WHERE `COUNTY NAME` = 'ALAMEDA' ORDER BY (CAST(`FREE MEAL COUNT (K-12)` AS REAL) / `ENROLLMENT (K-12)`) DESC LIMIT 1,correct
3,0,ERROR,ParserSyntaxError: ParserSyntaxError: cannot parse `SELECT MAX(`FREE MEAL COUNT (K-12)` / `ENROLLMENT (K-12)`) AS 'ELIGIBLE FREE RATE' FROM FRPM WHERE `COUNTY NAME` = 'ALAMEDA COUNTY';`,,SELECT MAX(`FREE MEAL COUNT (K-12)` / `ENROLLMENT (K-12)`) AS 'ELIGIBLE FREE RATE' FROM FRPM WHERE `COUNTY NAME` = 'ALAMEDA COUNTY';,SELECT `FREE MEAL COUNT (K-12)` / `ENROLLMENT (K-12)` FROM FRPM WHERE `COUNTY NAME` = 'ALAMEDA' ORDER BY (CAST(`FREE MEAL COUNT (K-12)` AS REAL) / `ENROLLMENT (K-12)`) DESC LIMIT 1,correct
1,1,ERROR,UnknownColumnError: UnknownColumnError: UnknownColumnError: unknown column `Unknown attribute FRPM__PERCENT (%) ELIGIBLE FREE (AGES 5-17)`,,"SELECT SCHOOLS.SCHOOL, FRPM.`PERCENT (%) ELIGIBLE FREE (AGES 5-17)` FROM SCHOOLS INNER JOIN FRPM ON SCHOOLS.CDSCODE = FRPM.CDSCODE WHERE SCHOOLS.EILNAME = 'CONTINUATION SCHOOL' ORDER BY FRPM.`PERCENT (%) ELIGIBLE FREE (AGES 5-17)` ASC LIMIT 3",SELECT `FREE MEAL COUNT (AGES 5-17)` / `ENROLLMENT (AGES 5-17)` FROM FRPM WHERE `EDUCATIONAL OPTION TYPE` = 'CONTINUATION SCHOOL' AND `FREE MEAL COUNT (AGES 5-17)` / `ENROLLMENT (AGES 5-17)` IS NOT NULL ORDER BY `FREE MEAL COUNT (AGES 5-17)` / `ENROLLMENT (AGES 5-17)` ASC LIMIT 3,incorrect
2,1,ERROR,UnknownColumnError: UnknownColumnError: UnknownColumnError: unknown column `Unknown attribute FRPM__PERCENT (%) ELIGIBLE FREE (AGES 5-17)`,,"SELECT SCHOOLS.SCHOOL, FRPM.`PERCENT (%) ELIGIBLE FREE (AGES 5-17)` FROM SCHOOLS INNER JOIN FRPM ON SCHOOLS.CDSCODE = FRPM.CDSCODE WHERE SCHOOLS.EILNAME = 'CONTINUATION SCHOOL' ORDER BY FRPM.`PERCENT (%) ELIGIBLE FREE (AGES 5-17)` ASC LIMIT 3",SELECT `FREE MEAL COUNT (AGES 5-17)` / `ENROLLMENT (AGES 5-17)` FROM FRPM WHERE `EDUCATIONAL OPTION TYPE` = 'CONTINUATION SCHOOL' AND `FREE MEAL COUNT (AGES 5-17)` / `ENROLLMENT (AGES 5-17)` IS NOT NULL ORDER BY `FREE MEAL COUNT (AGES 5-17)` / `ENROLLMENT (AGES 5-17)` ASC LIMIT 3,incorrect
3,1,ERROR,UnknownColumnError: UnknownColumnError: UnknownColumnError: unknown column `Unknown attribute FRPM__PERCENT (%) ELIGIBLE FREE (AGES 5-17)`,,"SELECT SCHOOLS.SCHOOL, FRPM.`PERCENT (%) ELIGIBLE FREE (AGES 5-17)` FROM SCHOOLS INNER JOIN FRPM ON SCHOOLS.CDSCODE = FRPM.CDSCODE WHERE SCHOOLS.EILNAME = 'CONTINUATION SCHOOL' ORDER BY FRPM.`PERCENT (%) ELIGIBLE FREE (AGES 5-17)` ASC LIMIT 3",SELECT `FREE MEAL COUNT (AGES 5-17)` / `ENROLLMENT (AGES 5-17)` FROM FRPM WHERE `EDUCATIONAL OPTION TYPE` = 'CONTINUATION SCHOOL' AND `FREE MEAL COUNT (AGES 5-17)` / `ENROLLMENT (AGES 5-17)` IS NOT NULL ORDER BY `FREE MEAL COUNT (AGES 5-17)` / `ENROLLMENT (AGES 5-17)` ASC LIMIT 3,incorrect
1,2,ERROR,UnknownColumnError: UnknownColumnError: UnknownColumnError: unknown column `Unknown attribute FRPM__CHARTER SCHOOL (Y/N)`,,SELECT SCHOOLS.ZIP FROM SCHOOLS INNER JOIN FRPM ON SCHOOLS.CDSCODE = FRPM.CDSCODE WHERE SCHOOLS.COUNTY = 'FRESNO COUNTY OFFICE OF EDUCATION' AND FRPM.`CHARTER SCHOOL (Y/N)` = 1,SELECT T2.ZIP FROM FRPM AS T1 INNER JOIN SCHOOLS AS T2 ON T1.CDSCODE = T2.CDSCODE WHERE T1.`DISTRICT NAME` = 'FRESNO COUNTY OFFICE OF EDUCATION' AND T1.`CHARTER SCHOOL (Y/N)` = 1,incorrect
2,2,ERROR,UnknownColumnError: UnknownColumnError: UnknownColumnError: unknown column `Unknown attribute FRPM__CHARTER SCHOOL (Y/N)`,,SELECT SCHOOLS.ZIP FROM SCHOOLS INNER JOIN FRPM ON SCHOOLS.CDSCODE = FRPM.CDSCODE WHERE SCHOOLS.COUNTY = 'FRESNO COUNTY OFFICE OF EDUCATION' AND FRPM.`CHARTER SCHOOL (Y/N)` = 1,SELECT T2.ZIP FROM FRPM AS T1 INNER JOIN SCHOOLS AS T2 ON T1.CDSCODE = T2.CDSCODE WHERE T1.`DISTRICT NAME` = 'FRESNO COUNTY OFFICE OF EDUCATION' AND T1.`CHARTER SCHOOL (Y/N)` = 1,incorrect
3,2,ERROR,UnknownColumnError: UnknownColumnError: UnknownColumnError: unknown column `Unknown attribute FRPM__CHARTER SCHOOL (Y/N)`,,SELECT SCHOOLS.ZIP FROM SCHOOLS INNER JOIN FRPM ON SCHOOLS.CDSCODE = FRPM.CDSCODE WHERE SCHOOLS.COUNTY = 'FRESNO COUNTY OFFICE OF EDUCATION' AND FRPM.`CHARTER SCHOOL (Y/N)` = 1,SELECT T2.ZIP FROM FRPM AS T1 INNER JOIN SCHOOLS AS T2 ON T1.CDSCODE = T2.CDSCODE WHERE T1.`DISTRICT NAME` = 'FRESNO COUNTY OFFICE OF EDUCATION' AND T1.`CHARTER SCHOOL (Y/N)` = 1,incorrect
1,3,ERROR,UnknownColumnError: UnknownColumnError: UnknownColumnError: unknown column `Unknown attribute FRPM__FRPM COUNT (K-12)`,,SELECT SCHOOLS.MAILSTREET FROM SCHOOLS INNER JOIN FRPM ON SCHOOLS.CDSCODE = FRPM.CDSCODE ORDER BY FRPM.`FRPM COUNT (K-12)` DESC LIMIT 1,SELECT T2.MAILSTREET FROM FRPM AS T1 INNER JOIN SCHOOLS AS T2 ON T1.CDSCODE = T2.CDSCODE ORDER BY T1.`FRPM COUNT (K-12)` DESC LIMIT 1,correct
