bound_size,question_id,equivalent,counterexample,time_cost,generated_sql,gold_sql,res
1,0,ERROR,NotImplementedError: {'real': {}},,SELECT MAX(FREE_MEAL_COUNT_K12 / ENROLLMENT_K12) AS `ELIGIBLE FREE RATE` FROM SCHOOLS INNER JOIN FRPM ON SCHOOLS.CDSCODE = FRPM.CDSCODE WHERE SCHOOLS.COUNTY = 'ALAMEDA',SELECT FREE_MEAL_COUNT_K12 / ENROLLMENT_K12 FROM FRPM WHERE COUNTY_NAME = 'ALAMEDA' ORDER BY (CAST(FREE_MEAL_COUNT_K12 AS REAL) / ENROLLMENT_K12) DESC LIMIT 1,correct
2,0,ERROR,NotImplementedError: {'real': {}},,SELECT MAX(FREE_MEAL_COUNT_K12 / ENROLLMENT_K12) AS `ELIGIBLE FREE RATE` FROM SCHOOLS INNER JOIN FRPM ON SCHOOLS.CDSCODE = FRPM.CDSCODE WHERE SCHOOLS.COUNTY = 'ALAMEDA',SELECT FREE_MEAL_COUNT_K12 / ENROLLMENT_K12 FROM FRPM WHERE COUNTY_NAME = 'ALAMEDA' ORDER BY (CAST(FREE_MEAL_COUNT_K12 AS REAL) / ENROLLMENT_K12) DESC LIMIT 1,correct
3,0,ERROR,NotImplementedError: {'real': {}},,SELECT MAX(FREE_MEAL_COUNT_K12 / ENROLLMENT_K12) AS `ELIGIBLE FREE RATE` FROM SCHOOLS INNER JOIN FRPM ON SCHOOLS.CDSCODE = FRPM.CDSCODE WHERE SCHOOLS.COUNTY = 'ALAMEDA',SELECT FREE_MEAL_COUNT_K12 / ENROLLMENT_K12 FROM FRPM WHERE COUNTY_NAME = 'ALAMEDA' ORDER BY (CAST(FREE_MEAL_COUNT_K12 AS REAL) / ENROLLMENT_K12) DESC LIMIT 1,correct
1,1,False,,,"SELECT FRPM.SCHOOL_NAME, FRPM.PERCENT_ELIGIBLE_FREE_AGES_5_17 FROM SCHOOLS INNER JOIN FRPM ON SCHOOLS.CDSCODE = FRPM.CDSCODE WHERE SCHOOLS.EDOPSCODE = 'CON' ORDER BY FRPM.PERCENT_ELIGIBLE_FREE_AGES_5_17 ASC LIMIT 3",SELECT FREE_MEAL_COUNT_AGES_5_17 / ENROLLMENT_AGES_5_17 FROM FRPM WHERE EDUCATIONAL_OPTION_TYPE = 'CONTINUATION SCHOOL' AND FREE_MEAL_COUNT_AGES_5_17 / ENROLLMENT_AGES_5_17 IS NOT NULL ORDER BY FREE_MEAL_COUNT_AGES_5_17 / ENROLLMENT_AGES_5_17 ASC LIMIT 3,incorrect
2,1,False,,,"SELECT FRPM.SCHOOL_NAME, FRPM.PERCENT_ELIGIBLE_FREE_AGES_5_17 FROM SCHOOLS INNER JOIN FRPM ON SCHOOLS.CDSCODE = FRPM.CDSCODE WHERE SCHOOLS.EDOPSCODE = 'CON' ORDER BY FRPM.PERCENT_ELIGIBLE_FREE_AGES_5_17 ASC LIMIT 3",SELECT FREE_MEAL_COUNT_AGES_5_17 / ENROLLMENT_AGES_5_17 FROM FRPM WHERE EDUCATIONAL_OPTION_TYPE = 'CONTINUATION SCHOOL' AND FREE_MEAL_COUNT_AGES_5_17 / ENROLLMENT_AGES_5_17 IS NOT NULL ORDER BY FREE_MEAL_COUNT_AGES_5_17 / ENROLLMENT_AGES_5_17 ASC LIMIT 3,incorrect
3,1,False,,,"SELECT FRPM.SCHOOL_NAME, FRPM.PERCENT_ELIGIBLE_FREE_AGES_5_17 FROM SCHOOLS INNER JOIN FRPM ON SCHOOLS.CDSCODE = FRPM.CDSCODE WHERE SCHOOLS.EDOPSCODE = 'CON' ORDER BY FRPM.PERCENT_ELIGIBLE_FREE_AGES_5_17 ASC LIMIT 3",SELECT FREE_MEAL_COUNT_AGES_5_17 / ENROLLMENT_AGES_5_17 FROM FRPM WHERE EDUCATIONAL_OPTION_TYPE = 'CONTINUATION SCHOOL' AND FREE_MEAL_COUNT_AGES_5_17 / ENROLLMENT_AGES_5_17 IS NOT NULL ORDER BY FREE_MEAL_COUNT_AGES_5_17 / ENROLLMENT_AGES_5_17 ASC LIMIT 3,incorrect
1,2,False,"-- ----------An counterexample found by VeriEQL------------
CREATE TABLE FRPM (
	CDSCODE VARCHAR(20),
	ACADEMIC_YEAR VARCHAR(20),
	COUNTY_CODE VARCHAR(20),
	DISTRICT_CODE VARCHAR(20),
	SCHOOL_CODE VARCHAR(20),
	COUNTY_NAME VARCHAR(20),
	DISTRICT_NAME VARCHAR(20),
	SCHOOL_NAME VARCHAR(20),
	DISTRICT_TYPE VARCHAR(20),
	SCHOOL_TYPE VARCHAR(20),
	EDUCATIONAL_OPTION_TYPE VARCHAR(20),
	NSLP_PROVISION_STATUS VARCHAR(20),
	CHARTER_SCHOOL_YN INTEGER,
	CHARTER_SCHOOL_NUMBER VARCHAR(20),
	CHARTER_FUNDING_TYPE VARCHAR(20),
	IRC INTEGER,
	LOW_GRADE VARCHAR(20),
	HIGH_GRADE VARCHAR(20),
	ENROLLMENT_K12 INTEGER,
	FREE_MEAL_COUNT_K12 INTEGER,
	PERCENT_ELIGIBLE_FREE_K12 INTEGER,
	FRPM_COUNT_K12 INTEGER,
	PERCENT_ELIGIBLE_FRPM_K12 INTEGER,
	ENROLLMENT_AGES_5_17 INTEGER,
	FREE_MEAL_COUNT_AGES_5_17 INTEGER,
	PERCENT_ELIGIBLE_FREE_AGES_5_17 INTEGER,
	FRPM_COUNT_AGES_5_17 INTEGER,
	PERCENT_ELIGIBLE_FRPM_AGES_5_17 INTEGER,
	CALPADS_FALL1_CERTIFICATION_STATUS INTEGER
);
INSERT INTO FRPM VALUES ('2147483648', '2147483648', '2147483648', '2147483648', '2147483648', '2147483648', 'FRESNO COUNTY OFFICE OF EDUCATION', '2147483648', '2147483648', '2147483648', '2147483648', '2147483648', 1, '2147483648', '2147483648', 6, '2147483648', '2147483648', 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17);
CREATE TABLE SATSCORES (
	CDS VARCHAR(20),
	RTYPE VARCHAR(20),
	SNAME VARCHAR(20),
	DNAME VARCHAR(20),
	CNAME VARCHAR(20),
	ENROLL12 INTEGER,
	NUMTSTTAKR INTEGER,
	AVGSCRREAD INTEGER,
	AVGSCRMATH INTEGER,
	AVGSCRWRITE INTEGER,
	NUMGE1500 INTEGER
);
INSERT INTO SATSCORES VALUES ('2147483648', '2147483648', '2147483648', '2147483648', '2147483648', 0, 0, 0, 0, 0, 0);
CREATE TABLE SCHOOLS (
	CDSCODE VARCHAR(20),
	NCESDIST VARCHAR(20),
	NCESSCHOOL VARCHAR(20),
	STATUSTYPE VARCHAR(20),
	COUNTY VARCHAR(20),
	DISTRICT VARCHAR(20),
	SCHOOL VARCHAR(20),
	STREET VARCHAR(20),
	STREETABR VARCHAR(20),
	CITY VARCHAR(20),
	ZIP VARCHAR(20),
	STATE VARCHAR(20),
	MAILSTREET VARCHAR(20),
	MAILSTRABR VARCHAR(20),
	MAILCITY VARCHAR(20),
	MAILZIP VARCHAR(20),
	MAILSTATE VARCHAR(20),
	PHONE VARCHAR(20),
	EXT VARCHAR(20),
	WEBSITE VARCHAR(20),
	OPENDATE DATE,
	CLOSEDDATE DATE,
	CHARTER INTEGER,
	CHARTERNUM VARCHAR(20),
	FUNDINGTYPE VARCHAR(20),
	DOC VARCHAR(20),
	DOCTYPE VARCHAR(20),
	SOC VARCHAR(20),
	SOCTYPE VARCHAR(20),
	EDOPSCODE VARCHAR(20),
	EDOPSNAME VARCHAR(20),
	EILCODE VARCHAR(20),
	EILNAME VARCHAR(20),
	GSOFFERED VARCHAR(20),
	GSSERVED VARCHAR(20),
	VIRTUAL VARCHAR(20),
	MAGNET INTEGER,
	LATITUDE INTEGER,
	LONGITUDE INTEGER,
	ADMFNAME1 VARCHAR(20),
	ADMLNAME1 VARCHAR(20),
	ADMEMAIL1 VARCHAR(20),
	ADMFNAME2 VARCHAR(20),
	ADMLNAME2 VARCHAR(20),
	ADMEMAIL2 VARCHAR(20),
	ADMFNAME3 VARCHAR(20),
	ADMLNAME3 VARCHAR(20),
	ADMEMAIL3 VARCHAR(20),
	LASTUPDATE DATE
);
INSERT INTO SCHOOLS VALUES ('2147483648', '2147483648', '2147483648', '2147483648', '1088432155612414358', '2147483648', '2147483648', '2147483648', '2147483648', '2147483648', '2147483648', '2147483648', '2147483648', '2147483648', '2147483648', '2147483648', '2147483648', '2147483648', '2147483648', '2147483648', '1970-01-01', '1970-01-01', 2, '2147483648', '2147483648', '2147483648', '2147483648', '2147483648', '2147483648', '2147483648', '2147483648', '2147483648', '2147483648', '2147483648', '2147483648', '2147483648', 3, 4, 5, '2147483648', '2147483648', '2147483648', '2147483648', '2147483648', '2147483648', '2147483648', '2147483648', '2147483648', '1970-01-01');
-- ----------sql1------------
SELECT SCHOOLS.ZIP FROM SCHOOLS INNER JOIN FRPM ON SCHOOLS.CDSCODE = FRPM.CDSCODE WHERE SCHOOLS.COUNTY = 'FRESNO COUNTY OFFICE OF EDUCATION' AND FRPM.CHARTER_SCHOOL_YN = 1;
-- ----------sql2------------
-- 2147483648
SELECT T2.ZIP FROM FRPM AS T1 INNER JOIN SCHOOLS AS T2 ON T1.CDSCODE = T2.CDSCODE WHERE T1.DISTRICT_NAME = 'FRESNO COUNTY OFFICE OF EDUCATION' AND T1.CHARTER_SCHOOL_YN = 1;
",0.1710479999999999,SELECT SCHOOLS.ZIP FROM SCHOOLS INNER JOIN FRPM ON SCHOOLS.CDSCODE = FRPM.CDSCODE WHERE SCHOOLS.COUNTY = 'FRESNO COUNTY OFFICE OF EDUCATION' AND FRPM.CHARTER_SCHOOL_YN = 1,SELECT T2.ZIP FROM FRPM AS T1 INNER JOIN SCHOOLS AS T2 ON T1.CDSCODE = T2.CDSCODE WHERE T1.DISTRICT_NAME = 'FRESNO COUNTY OFFICE OF EDUCATION' AND T1.CHARTER_SCHOOL_YN = 1,incorrect
2,2,False,"-- ----------An counterexample found by VeriEQL------------
CREATE TABLE FRPM (
	CDSCODE VARCHAR(20),
	ACADEMIC_YEAR VARCHAR(20),
	COUNTY_CODE VARCHAR(20),
	DISTRICT_CODE VARCHAR(20),
	SCHOOL_CODE VARCHAR(20),
	COUNTY_NAME VARCHAR(20),
	DISTRICT_NAME VARCHAR(20),
	SCHOOL_NAME VARCHAR(20),
	DISTRICT_TYPE VARCHAR(20),
	SCHOOL_TYPE VARCHAR(20),
	EDUCATIONAL_OPTION_TYPE VARCHAR(20),
	NSLP_PROVISION_STATUS VARCHAR(20),
	CHARTER_SCHOOL_YN INTEGER,
	CHARTER_SCHOOL_NUMBER VARCHAR(20),
	CHARTER_FUNDING_TYPE VARCHAR(20),
	IRC INTEGER,
	LOW_GRADE VARCHAR(20),
	HIGH_GRADE VARCHAR(20),
	ENROLLMENT_K12 INTEGER,
	FREE_MEAL_COUNT_K12 INTEGER,
	PERCENT_ELIGIBLE_FREE_K12 INTEGER,
	FRPM_COUNT_K12 INTEGER,
	PERCENT_ELIGIBLE_FRPM_K12 INTEGER,
	ENROLLMENT_AGES_5_17 INTEGER,
	FREE_MEAL_COUNT_AGES_5_17 INTEGER,
	PERCENT_ELIGIBLE_FREE_AGES_5_17 INTEGER,
	FRPM_COUNT_AGES_5_17 INTEGER,
	PERCENT_ELIGIBLE_FRPM_AGES_5_17 INTEGER,
	CALPADS_FALL1_CERTIFICATION_STATUS INTEGER
);
INSERT INTO FRPM VALUES ('2147483649', '2147483648', '2147483648', '2147483648', '2147483648', '2147483648', '1088432155612414358', '2147483648', '2147483648', '2147483648', '2147483648', '2147483648', 1, '2147483648', '2147483648', 13, '2147483648', '2147483648', 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24);
INSERT INTO FRPM VALUES ('2147483648', '2147483648', '2147483648', '2147483648', '2147483648', '2147483648', 'FRESNO COUNTY OFFICE OF EDUCATION', '2147483648', '2147483648', '2147483648', '2147483648', '2147483648', 1, '2147483648', '2147483648', 29, '2147483648', '2147483648', 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40);
CREATE TABLE SATSCORES (
	CDS VARCHAR(20),
	RTYPE VARCHAR(20),
	SNAME VARCHAR(20),
	DNAME VARCHAR(20),
	CNAME VARCHAR(20),
	ENROLL12 INTEGER,
	NUMTSTTAKR INTEGER,
	AVGSCRREAD INTEGER,
	AVGSCRMATH INTEGER,
	AVGSCRWRITE INTEGER,
	NUMGE1500 INTEGER
);
INSERT INTO SATSCORES VALUES ('2147483649', '2147483648', '2147483648', '2147483648', '2147483648', 0, 0, 0, 0, 0, 0);
INSERT INTO SATSCORES VALUES ('2147483648', '2147483648', '2147483648', '2147483648', '2147483648', 0, 0, 0, 0, 0, 0);
CREATE TABLE SCHOOLS (
	CDSCODE VARCHAR(20),
	NCESDIST VARCHAR(20),
	NCESSCHOOL VARCHAR(20),
	STATUSTYPE VARCHAR(20),
	COUNTY VARCHAR(20),
	DISTRICT VARCHAR(20),
	SCHOOL VARCHAR(20),
	STREET VARCHAR(20),
	STREETABR VARCHAR(20),
	CITY VARCHAR(20),
	ZIP VARCHAR(20),
	STATE VARCHAR(20),
	MAILSTREET VARCHAR(20),
	MAILSTRABR VARCHAR(20),
	MAILCITY VARCHAR(20),
	MAILZIP VARCHAR(20),
	MAILSTATE VARCHAR(20),
	PHONE VARCHAR(20),
	EXT VARCHAR(20),
	WEBSITE VARCHAR(20),
	OPENDATE DATE,
	CLOSEDDATE DATE,
	CHARTER INTEGER,
	CHARTERNUM VARCHAR(20),
	FUNDINGTYPE VARCHAR(20),
	DOC VARCHAR(20),
	DOCTYPE VARCHAR(20),
	SOC VARCHAR(20),
	SOCTYPE VARCHAR(20),
	EDOPSCODE VARCHAR(20),
	EDOPSNAME VARCHAR(20),
	EILCODE VARCHAR(20),
	EILNAME VARCHAR(20),
	GSOFFERED VARCHAR(20),
	GSSERVED VARCHAR(20),
	VIRTUAL VARCHAR(20),
	MAGNET INTEGER,
	LATITUDE INTEGER,
	LONGITUDE INTEGER,
	ADMFNAME1 VARCHAR(20),
	ADMLNAME1 VARCHAR(20),
	ADMEMAIL1 VARCHAR(20),
	ADMFNAME2 VARCHAR(20),
	ADMLNAME2 VARCHAR(20),
	ADMEMAIL2 VARCHAR(20),
	ADMFNAME3 VARCHAR(20),
	ADMLNAME3 VARCHAR(20),
	ADMEMAIL3 VARCHAR(20),
	LASTUPDATE DATE
);
INSERT INTO SCHOOLS VALUES ('2147483649', '2147483648', '2147483648', '2147483648', 'FRESNO COUNTY OFFICE OF EDUCATION', '2147483648', '2147483648', '2147483648', '2147483648', '2147483648', '2147483648', '2147483648', '2147483648', '2147483648', '2147483648', '2147483648', '2147483648', '2147483648', '2147483648', '2147483648', '1970-01-01', '1970-01-01', 9, '2147483648', '2147483648', '2147483648', '2147483648', '2147483648', '2147483648', '2147483648', '2147483648', '2147483648', '2147483648', '2147483648', '2147483648', '2147483648', 10, 11, 12, '2147483648', '2147483648', '2147483648', '2147483648', '2147483648', '2147483648', '2147483648', '2147483648', '2147483648', '1970-01-01');
INSERT INTO SCHOOLS VALUES ('2147483648', '2147483648', '2147483648', '2147483648', 'FRESNO COUNTY OFFICE OF EDUCATION', '2147483648', '2147483648', '2147483648', '2147483648', '2147483648', '2147483648', '2147483648', '2147483648', '2147483648', '2147483648', '2147483648', '2147483648', '2147483648', '2147483648', '2147483648', '1970-01-01', '1970-01-01', 25, '2147483648', '2147483648', '2147483648', '2147483648', '2147483648', '2147483648', '2147483648', '2147483648', '2147483648', '2147483648', '2147483648', '2147483648', '2147483648', 26, 27, 28, '2147483648', '2147483648', '2147483648', '2147483648', '2147483648', '2147483648', '2147483648', '2147483648', '2147483648', '1970-01-01');
-- ----------sql1------------
-- 2147483648
-- 2147483648
SELECT SCHOOLS.ZIP FROM SCHOOLS INNER JOIN FRPM ON SCHOOLS.CDSCODE = FRPM.CDSCODE WHERE SCHOOLS.COUNTY = 'FRESNO COUNTY OFFICE OF EDUCATION' AND FRPM.CHARTER_SCHOOL_YN = 1;
-- ----------sql2------------
-- 2147483648
SELECT T2.ZIP FROM FRPM AS T1 INNER JOIN SCHOOLS AS T2 ON T1.CDSCODE = T2.CDSCODE WHERE T1.DISTRICT_NAME = 'FRESNO COUNTY OFFICE OF EDUCATION' AND T1.CHARTER_SCHOOL_YN = 1;
",0.449837,SELECT SCHOOLS.ZIP FROM SCHOOLS INNER JOIN FRPM ON SCHOOLS.CDSCODE = FRPM.CDSCODE WHERE SCHOOLS.COUNTY = 'FRESNO COUNTY OFFICE OF EDUCATION' AND FRPM.CHARTER_SCHOOL_YN = 1,SELECT T2.ZIP FROM FRPM AS T1 INNER JOIN SCHOOLS AS T2 ON T1.CDSCODE = T2.CDSCODE WHERE T1.DISTRICT_NAME = 'FRESNO COUNTY OFFICE OF EDUCATION' AND T1.CHARTER_SCHOOL_YN = 1,incorrect
3,2,False,"-- ----------An counterexample found by VeriEQL------------
CREATE TABLE FRPM (
	CDSCODE VARCHAR(20),
	ACADEMIC_YEAR VARCHAR(20),
	COUNTY_CODE VARCHAR(20),
	DISTRICT_CODE VARCHAR(20),
	SCHOOL_CODE VARCHAR(20),
	COUNTY_NAME VARCHAR(20),
	DISTRICT_NAME VARCHAR(20),
	SCHOOL_NAME VARCHAR(20),
	DISTRICT_TYPE VARCHAR(20),
	SCHOOL_TYPE VARCHAR(20),
	EDUCATIONAL_OPTION_TYPE VARCHAR(20),
	NSLP_PROVISION_STATUS VARCHAR(20),
	CHARTER_SCHOOL_YN INTEGER,
	CHARTER_SCHOOL_NUMBER VARCHAR(20),
	CHARTER_FUNDING_TYPE VARCHAR(20),
	IRC INTEGER,
	LOW_GRADE VARCHAR(20),
	HIGH_GRADE VARCHAR(20),
	ENROLLMENT_K12 INTEGER,
	FREE_MEAL_COUNT_K12 INTEGER,
	PERCENT_ELIGIBLE_FREE_K12 INTEGER,
	FRPM_COUNT_K12 INTEGER,
	PERCENT_ELIGIBLE_FRPM_K12 INTEGER,
	ENROLLMENT_AGES_5_17 INTEGER,
	FREE_MEAL_COUNT_AGES_5_17 INTEGER,
	PERCENT_ELIGIBLE_FREE_AGES_5_17 INTEGER,
	FRPM_COUNT_AGES_5_17 INTEGER,
	PERCENT_ELIGIBLE_FRPM_AGES_5_17 INTEGER,
	CALPADS_FALL1_CERTIFICATION_STATUS INTEGER
);
INSERT INTO FRPM VALUES ('2147483648', '2147483648', '2147483648', '2147483648', '2147483648', '2147483648', 'FRESNO COUNTY OFFICE OF EDUCATION', '2147483648', '2147483648', '2147483648', '2147483648', '2147483648', 1, '2147483648', '2147483648', 19, '2147483648', '2147483648', 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30);
INSERT INTO FRPM VALUES ('2147483650', '2147483648', '2147483648', '2147483648', '2147483648', '2147483648', 'FRESNO COUNTY OFFICE OF EDUCATION', '2147483648', '2147483648', '2147483648', '2147483648', '2147483648', 1, '2147483648', '2147483648', 39, '2147483648', '2147483648', 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50);
INSERT INTO FRPM VALUES ('2147483649', '2147483648', '2147483648', '2147483648', '2147483648', '2147483648', 'FRESNO COUNTY OFFICE OF EDUCATION', '2147483648', '2147483648', '2147483648', '2147483648', '2147483648', 1, '2147483648', '2147483648', 51, '2147483648', '2147483648', 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62);
CREATE TABLE SATSCORES (
	CDS VARCHAR(20),
	RTYPE VARCHAR(20),
	SNAME VARCHAR(20),
	DNAME VARCHAR(20),
	CNAME VARCHAR(20),
	ENROLL12 INTEGER,
	NUMTSTTAKR INTEGER,
	AVGSCRREAD INTEGER,
	AVGSCRMATH INTEGER,
	AVGSCRWRITE INTEGER,
	NUMGE1500 INTEGER
);
INSERT INTO SATSCORES VALUES ('2147483648', '2147483648', '2147483648', '2147483648', '2147483648', 0, 0, 0, 0, 0, 0);
INSERT INTO SATSCORES VALUES ('2147483650', '2147483648', '2147483648', '2147483648', '2147483648', 0, 0, 0, 0, 0, 0);
INSERT INTO SATSCORES VALUES ('2147483649', '2147483648', '2147483648', '2147483648', '2147483648', 0, 0, 0, 0, 0, 0);
CREATE TABLE SCHOOLS (
	CDSCODE VARCHAR(20),
	NCESDIST VARCHAR(20),
	NCESSCHOOL VARCHAR(20),
	STATUSTYPE VARCHAR(20),
	COUNTY VARCHAR(20),
	DISTRICT VARCHAR(20),
	SCHOOL VARCHAR(20),
	STREET VARCHAR(20),
	STREETABR VARCHAR(20),
	CITY VARCHAR(20),
	ZIP VARCHAR(20),
	STATE VARCHAR(20),
	MAILSTREET VARCHAR(20),
	MAILSTRABR VARCHAR(20),
	MAILCITY VARCHAR(20),
	MAILZIP VARCHAR(20),
	MAILSTATE VARCHAR(20),
	PHONE VARCHAR(20),
	EXT VARCHAR(20),
	WEBSITE VARCHAR(20),
	OPENDATE DATE,
	CLOSEDDATE DATE,
	CHARTER INTEGER,
	CHARTERNUM VARCHAR(20),
	FUNDINGTYPE VARCHAR(20),
	DOC VARCHAR(20),
	DOCTYPE VARCHAR(20),
	SOC VARCHAR(20),
	SOCTYPE VARCHAR(20),
	EDOPSCODE VARCHAR(20),
	EDOPSNAME VARCHAR(20),
	EILCODE VARCHAR(20),
	EILNAME VARCHAR(20),
	GSOFFERED VARCHAR(20),
	GSSERVED VARCHAR(20),
	VIRTUAL VARCHAR(20),
	MAGNET INTEGER,
	LATITUDE INTEGER,
	LONGITUDE INTEGER,
	ADMFNAME1 VARCHAR(20),
	ADMLNAME1 VARCHAR(20),
	ADMEMAIL1 VARCHAR(20),
	ADMFNAME2 VARCHAR(20),
	ADMLNAME2 VARCHAR(20),
	ADMEMAIL2 VARCHAR(20),
	ADMFNAME3 VARCHAR(20),
	ADMLNAME3 VARCHAR(20),
	ADMEMAIL3 VARCHAR(20),
	LASTUPDATE DATE
);
INSERT INTO SCHOOLS VALUES ('2147483648', '2147483648', '2147483648', '2147483648', 'FRESNO COUNTY OFFICE OF EDUCATION', '2147483648', '2147483648', '2147483648', '2147483648', '2147483648', '2147483648', '2147483648', '2147483648', '2147483648', '2147483648', '2147483648', '2147483648', '2147483648', '2147483648', '2147483648', '1970-01-01', '1970-01-01', 15, '2147483648', '2147483648', '2147483648', '2147483648', '2147483648', '2147483648', '2147483648', '2147483648', '2147483648', '2147483648', '2147483648', '2147483648', '2147483648', 16, 17, 18, '2147483648', '2147483648', '2147483648', '2147483648', '2147483648', '2147483648', '2147483648', '2147483648', '2147483648', '1970-01-01');
INSERT INTO SCHOOLS VALUES ('2147483649', '2147483648', '2147483648', '2147483648', 'FRESNO COUNTY OFFICE OF EDUCATION', '2147483648', '2147483648', '2147483648', '2147483648', '2147483648', '2147483648', '2147483648', '2147483648', '2147483648', '2147483648', '2147483648', '2147483648', '2147483648', '2147483648', '2147483648', '1970-01-01', '1970-01-01', 31, '2147483648', '2147483648', '2147483648', '2147483648', '2147483648', '2147483648', '2147483648', '2147483648', '2147483648', '2147483648', '2147483648', '2147483648', '2147483648', 32, 33, 34, '2147483648', '2147483648', '2147483648', '2147483648', '2147483648', '2147483648', '2147483648', '2147483648', '2147483648', '1970-01-01');
INSERT INTO SCHOOLS VALUES ('2147483650', '2147483648', '2147483648', '2147483648', '1088432155612414356', '2147483648', '2147483648', '2147483648', '2147483648', '2147483648', '2147483648', '2147483648', '2147483648', '2147483648', '2147483648', '2147483648', '2147483648', '2147483648', '2147483648', '2147483648', '1970-01-01', '1970-01-01', 35, '2147483648', '2147483648', '2147483648', '2147483648', '2147483648', '2147483648', '2147483648', '2147483648', '2147483648', '2147483648', '2147483648', '2147483648', '2147483648', 36, 37, 38, '2147483648', '2147483648', '2147483648', '2147483648', '2147483648', '2147483648', '2147483648', '2147483648', '2147483648', '1970-01-01');
-- ----------sql1------------
-- 2147483648
-- 2147483648
SELECT SCHOOLS.ZIP FROM SCHOOLS INNER JOIN FRPM ON SCHOOLS.CDSCODE = FRPM.CDSCODE WHERE SCHOOLS.COUNTY = 'FRESNO COUNTY OFFICE OF EDUCATION' AND FRPM.CHARTER_SCHOOL_YN = 1;
-- ----------sql2------------
-- 2147483648
-- 2147483648
-- 2147483648
SELECT T2.ZIP FROM FRPM AS T1 INNER JOIN SCHOOLS AS T2 ON T1.CDSCODE = T2.CDSCODE WHERE T1.DISTRICT_NAME = 'FRESNO COUNTY OFFICE OF EDUCATION' AND T1.CHARTER_SCHOOL_YN = 1;
",0.99937,SELECT SCHOOLS.ZIP FROM SCHOOLS INNER JOIN FRPM ON SCHOOLS.CDSCODE = FRPM.CDSCODE WHERE SCHOOLS.COUNTY = 'FRESNO COUNTY OFFICE OF EDUCATION' AND FRPM.CHARTER_SCHOOL_YN = 1,SELECT T2.ZIP FROM FRPM AS T1 INNER JOIN SCHOOLS AS T2 ON T1.CDSCODE = T2.CDSCODE WHERE T1.DISTRICT_NAME = 'FRESNO COUNTY OFFICE OF EDUCATION' AND T1.CHARTER_SCHOOL_YN = 1,incorrect
1,3,True,,0.1046499999999999,SELECT SCHOOLS.MAILSTREET FROM SCHOOLS INNER JOIN FRPM ON SCHOOLS.CDSCODE = FRPM.CDSCODE ORDER BY FRPM.FRPM_COUNT_K12 DESC LIMIT 1,SELECT T2.MAILSTREET FROM FRPM AS T1 INNER JOIN SCHOOLS AS T2 ON T1.CDSCODE = T2.CDSCODE ORDER BY T1.FRPM_COUNT_K12 DESC LIMIT 1,correct
